@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data

1,1,0.2,0.1,1,0.9,1,403.609222,1,0.446593,8,bad
0.829531,1,0.078231,0.057823,1,0.942177,0.792289,257.566229,1,1,0,bad
1,0.897328,0.040816,0.071429,0.948718,0.928571,1,193.446213,0.911265,0.216872,1,bad
1,1,0.015805,0.008621,1,0.991379,1,197.675329,1,1,0,bad
0.888348,0.867149,0.070862,0.103175,1,0.896825,1,237.754571,0.794957,1,0,bad
1,1,0.038856,0.093384,1,0.906616,1,187.923447,1,1,0,bad
1,1,0.005556,0.022222,0.761111,0.977778,1,177.902151,0.946526,0.987997,1,bad
1,1,0,0,1,1,1,149,1,1,20,bad
1,1,0,0,1,1,1,1,1,1,7,bad
0.606685,1,1,0,0.5,1,0.606685,267.541025,0.329805,0.58828,51,bad
0.584291,1,0,0,1,1,0.584291,141.01724,1,1,9,bad
1,0.31377,0,0,0.5,1,1,18,1,0.013053,46,bad
0.201114,0.436679,0,0,1,1,0.232869,127.140006,0.092201,1,50,bad
1,1,0.041667,0.091667,0.963248,0.908333,1,147.481633,1,1,4.066667,bad
0.842619,1,0.02381,0.047619,0.897436,0.952381,0.711669,104.322859,0.723892,0.848905,6.380952,bad
1,1,0.046053,0.098684,1,0.901316,1,149.695945,1,1,3.75,bad
0.785636,0.983406,0,0,0.538462,1,0.582807,115.901339,1,1,6.416667,bad
0.646349,0.671228,0.012346,0.049383,0.683761,0.950617,0.733144,135.451839,0.474364,0.034104,1.740741,bad
0.952045,1,0.034463,0.011488,0.828439,0.988512,0.718985,160.411176,0.937188,1,1.022599,bad
0.562273,0.249737,0,0,0.5,1,0.285539,111,0.562273,1,8,bad
1,1,0,0,1,1,1,130.855796,1,0.662853,12,bad
1,0.51498,0.080357,0.214286,0.788693,0.785714,1,174.021755,1,1,6.517857,bad
0.637973,0.592755,0,0,1,1,0.637973,107,0.637973,1,18,bad
0.158774,0.285178,0,0,0.5,1,0.158774,0,0,0,45,bad
1,1,0.072917,0.135417,1,0.864583,1,161.432073,1,1,3.171875,bad
0.582925,0.627043,0.026764,0.009732,0.782322,0.990268,0.74571,122.755188,1,0.661765,2,bad
0.973736,0.527373,0.077519,0.19832,0.881053,0.80168,1,179.054835,1,0.51837,3.643411,bad
1,0.484993,0.034314,0.029789,1,0.970211,1,219.483868,1,0.260968,0,bad
0.705309,0.304429,0.046181,0,0.875157,1,0.771343,135.651578,0.773281,0.584738,5.291667,bad
1,1,0,0,1,1,1,109.326021,1,1,9,bad
0.121287,1,0,0,1,1,0.268062,128.578677,0.719178,1,12,bad
0.441846,0.923406,0,0,0.692308,1,0.345328,147.702655,0.644603,0.036771,9,bad
