@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data

1,1,0,0,1,1,1,102.693023,1,1,7.666667,bad
0.905134,0.471723,0,0,0.75,1,0.75705,130.18779,1,1,2,bad
1,1,0,0,1,1,1,46,1,1,19,bad
1,1,0,0,1,1,1,96.664049,1,1,0,bad
1,1,0.003704,0,1,1,1,148.186993,1,1,1,bad
1,0.050376,0.083333,0.166667,1,0.833333,1,151.746563,1,0.430244,1,bad
1,1,0.125,0.125,1,0.875,1,173.059058,1,1,3,bad
1,1,0,0,1,1,1,106.422843,0.661411,0.69017,4.5,bad
1,1,0.015646,0.032653,1,0.967347,1,233.544745,1,1,0,bad
1,0.496607,0,0.2,0.8,0.8,1,172.373757,1,0.372618,3.133333,bad
0.109967,1,0,0,0.625,1,0.049692,106.754295,0.368187,0.575077,9,bad
0.652993,0.38723,0,0,1,1,0.652993,42,0.652993,1,16,bad
1,1,0,0,1,1,1,372.937289,1,1,7,bad
1,1,0,1,1,0,1,98.659055,1,1,20,bad
1,1,0,0,1,1,1,45.880279,1,1,52,bad
1,0.012436,0.007937,0.095238,1,0.904762,0.875536,190.860975,1,0.424131,2,bad
1,0.970151,0,0,1,1,1,70.178344,1,1,16,bad
0.482759,1,0,0,1,1,0.482759,13.038405,0.482759,0.38485,24,bad
1,1,0,0.058824,1,0.941176,1,160.185206,1,1,2,bad
1,1,0.049383,0.104938,1,0.895062,1,266.787583,1,1,1.074074,bad
1,1,0,0.333333,1,0.666667,1,78.67242,1,1,9,bad
0.724561,0.728008,0,0,0.5,1,0.191824,84.585088,0.369428,0.17571,3,bad
1,1,0,0,1,1,1,190.222252,1,1,0,bad
0.647388,1,0,1,1,0,0.647388,278.926514,0.491604,1,7,good
1,0.618341,0,0,1,1,1,157,1,0.276711,6,bad
1,1,0,1,1,0,1,108.594021,1,1,1,bad
1,0.772613,0.181818,0.121212,0.836364,0.878788,1,204.102325,1,0.721598,1,bad
1,1,0,0,1,1,1,188.446817,1,1,2,bad
1,1,0.1,0,1,1,1,98.681588,1,1,10,bad
1,0.206202,0.166667,0.5,0.666667,0.5,1,117.902218,1,0.675714,7,good
1,0.845224,0,0,0.909091,1,1,151.970497,1,0.004381,12,bad
0.931509,0.769222,0,0,1,1,0.87425,106.355151,1,0.018851,1,bad
0.399871,0.882926,0,0.2,0.666667,0.8,0.339549,161.67296,0.534234,0.048903,3.8,bad
1,0.092796,0,0,1,1,1,64,1,0.489292,14,bad
1,1,0.011628,0.023256,0.683721,0.976744,1,266.010445,1,1,2,bad
1,1,0.071429,0.107143,0.595,0.892857,1,160.995011,1,0.331043,6.357143,bad
0.533343,0.582191,0.04023,0.08908,1,0.91092,0.894158,227.554082,0.629663,0.140777,0.206897,bad
1,1,0,0,1,1,1,81.5,1,0.417949,12,bad
0.627854,0.757584,0,0,0.5625,1,0.21467,73.649923,0.541111,0.17439,2,bad
0.698413,0.232939,0,0,1,1,0.698413,134,0.698413,1,15,bad
0.290013,1,0,0,1,1,0.290013,26.925824,0.290013,0.483903,21,bad
1,1,0,0,1,1,1,256.104926,1,0.02444,0,bad
1,0.840828,0,0,0.5625,1,1,53.740115,1,0.000315,7,bad
0.506165,0.927548,0,0,0.380952,1,0.232558,120.416159,0.414253,1,2,bad
0.004336,0.058205,0,0,1,1,0.004336,62.817195,0.037037,1,0,bad
0.63523,1,0,0,0.666667,1,0.642056,152.446222,0.017423,1,12,bad
1,1,0,0.25,0.5,0.75,0.908008,118.183193,1,0.130903,11,bad
1,0.895452,0,0,1,1,1,210.908029,1,0.339121,17,bad
1,1,0.083333,0,1,1,1,155.105232,1,1,0,bad
0.398719,0.03177,0.166667,0,0.875,1,0.191387,434.114451,1,0.36967,0,bad
1,0.724645,0,0.052632,1,0.947368,1,148.305958,0.441923,1,1,bad
0.179498,1,0,0,0.666667,1,0.16399,322.815184,0.073103,0.661187,11,bad
0.396017,0.244505,0,0,0.833333,1,0.489921,149.807112,0.325791,1,1,bad
1,0.672753,0.044192,0.097222,1,0.902778,1,224.556386,1,1,0,bad
1,1,0,1,1,0,1,109.78494,1,1,6,bad
1,0.891819,0.5,0,1,1,1,123.808396,1,0.63282,3,bad
0.976742,1,0.092593,0.055556,1,0.944444,1,337.722411,0.476954,0.051534,3.888889,bad
1,1,1,0,1,1,1,467.254391,1,0.31336,54,bad
1,1,0,1,1,0,1,112.044127,1,0.204088,6,bad
1,1,0,0,1,1,1,207.353526,1,1,0,bad
1,0.895769,1,0,1,1,1,175.151328,1,0.087891,18,bad
1,0.999187,0,0,1,1,1,356.078152,0.513619,1,25,bad
1,1,0,0,1,1,1,124.659108,1,0.722621,0,bad
