"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,341,0,7941,0,1,1,0.041174,1,0.958826,0.079091,1,1,0
1,341,0,7940,1,0.999874,1,0.041179,1,0.958821,0.0791,0.999879,1.000121,0
2,341,0,7939,2,0.999748,1,0.041184,1,0.958816,0.079109,0.999759,1.000242,0
3,341,0,7938,3,0.999622,1,0.041189,1,0.958811,0.079118,0.999638,1.000362,0
4,341,0,7937,4,0.999496,1,0.041194,1,0.958806,0.079128,0.999517,1.000483,0
5,341,0,7936,5,0.99937,1,0.041199,1,0.958801,0.079137,0.999396,1.000604,0
6,341,0,7935,6,0.999244,1,0.041203,1,0.958797,0.079146,0.999276,1.000725,0
7,341,0,7934,7,0.999118,1,0.041208,1,0.958792,0.079155,0.999155,1.000846,0
8,341,0,7933,8,0.998993,1,0.041213,1,0.958787,0.079164,0.999034,1.000967,0
9,341,0,7932,9,0.998867,1,0.041218,1,0.958782,0.079173,0.998913,1.001088,0
10,341,0,7931,10,0.998741,1,0.041223,1,0.958777,0.079183,0.998793,1.001209,0
11,341,0,7930,11,0.998615,1,0.041228,1,0.958772,0.079192,0.998672,1.00133,0
12,341,0,7929,12,0.998489,1,0.041233,1,0.958767,0.079201,0.998551,1.001451,0
13,341,0,7928,13,0.998363,1,0.041238,1,0.958762,0.07921,0.99843,1.001572,0
14,341,0,7927,14,0.998237,1,0.041243,1,0.958757,0.079219,0.99831,1.001693,0
15,341,0,7926,15,0.998111,1,0.041248,1,0.958752,0.079229,0.998189,1.001814,0
16,341,0,7925,16,0.997985,1,0.041253,1,0.958747,0.079238,0.998068,1.001936,0
17,341,0,7924,17,0.997859,1,0.041258,1,0.958742,0.079247,0.997947,1.002057,0
18,341,0,7923,18,0.997733,1,0.041263,1,0.958737,0.079256,0.997827,1.002178,0
19,341,0,7922,19,0.997607,1,0.041268,1,0.958732,0.079265,0.997706,1.002299,0
20,341,0,7921,20,0.997481,1,0.041273,1,0.958727,0.079275,0.997585,1.002421,0
21,341,0,7920,21,0.997355,1,0.041278,1,0.958722,0.079284,0.997464,1.002542,0
