"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,422,0,11799,0,1,1,0.034531,1,0.965469,0.066756,1,1,0.008909
1,408,14,10772,1027,0.912959,0.966825,0.036494,0.966825,0.963506,0.070333,0.914819,1.056848,0.00894
2,396,26,9717,2082,0.823544,0.938389,0.039158,0.938389,0.960842,0.075178,0.82751,1.133991,0.008984
3,385,37,8671,3128,0.734893,0.912322,0.042513,0.912322,0.957487,0.081241,0.74102,1.231172,0.009042
4,375,47,7634,4165,0.647004,0.888626,0.046822,0.888626,0.953178,0.088957,0.655347,1.355961,0.009046
5,366,56,6594,5205,0.558861,0.867299,0.052586,0.867299,0.947414,0.09916,0.569511,1.522882,0.009192
6,359,63,5561,6238,0.471311,0.850711,0.060642,0.850711,0.939358,0.113213,0.484412,1.756172,0.009195
7,351,71,4508,7291,0.382066,0.831754,0.072237,0.831754,0.927763,0.132929,0.397594,2.091965,0.009228
8,351,71,4507,7292,0.381982,0.831754,0.072252,0.831754,0.927748,0.132955,0.397512,2.092396,0.009325
9,346,76,3464,8335,0.293584,0.819905,0.090814,0.819905,0.909186,0.163516,0.311758,2.629937,0.009442
10,340,82,2427,9372,0.205695,0.805687,0.122877,0.805687,0.877123,0.213233,0.226414,3.558476,0.009449
11,335,87,1387,10412,0.117552,0.793839,0.194541,0.793839,0.805459,0.3125,0.140905,5.633859,0.009484
12,335,87,1386,10413,0.117468,0.793839,0.194654,0.793839,0.805346,0.312646,0.140823,5.637132,0.009522
13,335,87,1384,10415,0.117298,0.793839,0.194881,0.793839,0.805119,0.312938,0.14066,5.643691,0.00961
14,335,87,1383,10416,0.117213,0.793839,0.194994,0.793839,0.805006,0.313084,0.140578,5.646976,0.009734
15,335,87,1382,10417,0.117129,0.793839,0.195108,0.793839,0.804892,0.31323,0.140496,5.650265,0.009808
16,335,87,1380,10419,0.116959,0.793839,0.195335,0.793839,0.804665,0.313524,0.140332,5.656854,0.009911
17,335,87,1379,10420,0.116874,0.793839,0.195449,0.793839,0.804551,0.31367,0.14025,5.660154,0.009949
18,335,87,1378,10421,0.11679,0.793839,0.195563,0.793839,0.804437,0.313817,0.140169,5.663459,0.010166
19,335,87,1376,10423,0.11662,0.793839,0.195792,0.793839,0.804208,0.314112,0.140005,5.670079,0.010268
20,335,87,1374,10425,0.116451,0.793839,0.196021,0.793839,0.803979,0.314406,0.139841,5.676714,0.010276
21,333,89,1372,10427,0.116281,0.7891,0.195308,0.7891,0.804692,0.313117,0.139514,5.656062,0.01028
22,333,89,1369,10430,0.116027,0.7891,0.195652,0.7891,0.804348,0.313559,0.139268,5.666031,0.010338
23,333,89,1368,10431,0.115942,0.7891,0.195767,0.7891,0.804233,0.313707,0.139187,5.669362,0.010474
24,333,89,1367,10432,0.115857,0.7891,0.195882,0.7891,0.804118,0.313855,0.139105,5.672697,0.01056
25,333,89,1366,10433,0.115773,0.7891,0.195998,0.7891,0.804002,0.314003,0.139023,5.676036,0.010633
26,333,89,1365,10434,0.115688,0.7891,0.196113,0.7891,0.803887,0.314151,0.138941,5.679379,0.01066
27,333,89,1364,10435,0.115603,0.7891,0.196229,0.7891,0.803771,0.314299,0.138859,5.682726,0.010697
28,333,89,1362,10437,0.115434,0.7891,0.19646,0.7891,0.80354,0.314596,0.138696,5.689431,0.010704
29,333,89,1360,10439,0.115264,0.7891,0.196692,0.7891,0.803308,0.314894,0.138532,5.696152,0.010766
30,333,89,1358,10441,0.115094,0.7891,0.196925,0.7891,0.803075,0.315192,0.138368,5.702889,0.010771
31,333,89,1357,10442,0.11501,0.7891,0.197041,0.7891,0.802959,0.315341,0.138287,5.706263,0.010849
