"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,308,0,7782,0,1,1,0.038072,1,0.961928,0.073351,1,1,0
1,308,0,7781,1,0.999871,1,0.038076,1,0.961924,0.07336,0.999876,1.000124,0
2,308,0,7780,2,0.999743,1,0.038081,1,0.961919,0.073368,0.999753,1.000247,0
3,308,0,7779,3,0.999614,1,0.038086,1,0.961914,0.073377,0.999629,1.000371,0
4,308,0,7778,4,0.999486,1,0.038091,1,0.961909,0.073386,0.999506,1.000495,0
5,308,0,7777,5,0.999357,1,0.038095,1,0.961905,0.073394,0.999382,1.000618,0
6,308,0,7776,6,0.999229,1,0.0381,1,0.9619,0.073403,0.999258,1.000742,0
7,308,0,7775,7,0.9991,1,0.038105,1,0.961895,0.073412,0.999135,1.000866,0
8,308,0,7774,8,0.998972,1,0.038109,1,0.961891,0.073421,0.999011,1.00099,0
9,308,0,7773,9,0.998843,1,0.038114,1,0.961886,0.073429,0.998888,1.001114,0
10,308,0,7772,10,0.998715,1,0.038119,1,0.961881,0.073438,0.998764,1.001238,0
11,308,0,7771,11,0.998586,1,0.038124,1,0.961876,0.073447,0.99864,1.001362,0
12,308,0,7770,12,0.998458,1,0.038128,1,0.961872,0.073456,0.998517,1.001486,0
13,308,0,7769,13,0.998329,1,0.038133,1,0.961867,0.073465,0.998393,1.00161,0
14,308,0,7768,14,0.998201,1,0.038138,1,0.961862,0.073473,0.998269,1.001734,0
15,308,0,7767,15,0.998072,1,0.038142,1,0.961858,0.073482,0.998146,1.001858,0
16,308,0,7766,16,0.997944,1,0.038147,1,0.961853,0.073491,0.998022,1.001982,0
17,308,0,7765,17,0.997815,1,0.038152,1,0.961848,0.0735,0.997899,1.002106,0
18,308,0,7764,18,0.997687,1,0.038157,1,0.961843,0.073508,0.997775,1.00223,0
19,308,0,7763,19,0.997558,1,0.038161,1,0.961839,0.073517,0.997651,1.002354,0
20,308,0,7762,20,0.99743,1,0.038166,1,0.961834,0.073526,0.997528,1.002478,0
21,308,0,7761,21,0.997301,1,0.038171,1,0.961829,0.073535,0.997404,1.002603,0
