"Instance_number","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
0,225,0,4932,0,1,1,0.04363,1,0.95637,0.083612,1,1,0.011517
1,219,6,4531,401,0.918694,0.973333,0.046105,0.973333,0.953895,0.08804,0.921078,1.056733,0.011523
2,212,13,4126,806,0.836577,0.942222,0.04887,0.942222,0.95113,0.092921,0.841187,1.120111,0.011766
3,212,13,4123,809,0.835969,0.942222,0.048904,0.942222,0.951096,0.092982,0.840605,1.120886,0.011831
4,205,20,3707,1225,0.751622,0.911111,0.052403,0.911111,0.947597,0.099106,0.758581,1.201074,0.011874
5,199,26,3303,1629,0.669708,0.884444,0.056825,0.884444,0.943175,0.106788,0.679077,1.302421,0.01199
6,194,31,2891,2041,0.586172,0.862222,0.062885,0.862222,0.937115,0.117221,0.598216,1.441323,0.012039
7,194,31,2889,2043,0.585766,0.862222,0.062926,0.862222,0.937074,0.117291,0.597828,1.442258,0.012093
8,194,31,2888,2044,0.585564,0.862222,0.062946,0.862222,0.937054,0.117327,0.597634,1.442726,0.012141
9,194,31,2886,2046,0.585158,0.862222,0.062987,0.862222,0.937013,0.117398,0.597246,1.443662,0.012273
10,188,37,2477,2455,0.50223,0.835556,0.070544,0.835556,0.929456,0.130104,0.516773,1.616871,0.01231
11,188,37,2476,2456,0.502028,0.835556,0.070571,0.835556,0.929429,0.130149,0.516579,1.617477,0.012372
12,188,37,2474,2458,0.501622,0.835556,0.070624,0.835556,0.929376,0.130239,0.516192,1.618693,0.012405
13,183,42,2071,2861,0.419911,0.813333,0.081189,0.813333,0.918811,0.14764,0.437076,1.860852,0.012506
14,183,42,2070,2862,0.419708,0.813333,0.081225,0.813333,0.918775,0.1477,0.436882,1.861678,0.01255
15,178,47,1651,3281,0.334753,0.791111,0.097321,0.791111,0.902679,0.17332,0.354664,2.230596,0.012669
16,178,47,1650,3282,0.33455,0.791111,0.097374,0.791111,0.902626,0.173405,0.35447,2.231816,0.012727
17,178,47,1648,3284,0.334144,0.791111,0.097481,0.791111,0.902519,0.173574,0.354082,2.234261,0.012787
18,176,49,1237,3695,0.250811,0.782222,0.124558,0.782222,0.875442,0.214896,0.273997,2.854862,0.012813
19,176,49,1235,3697,0.250406,0.782222,0.124734,0.782222,0.875266,0.215159,0.273609,2.858909,0.012921
20,176,49,1234,3698,0.250203,0.782222,0.124823,0.782222,0.875177,0.215291,0.273415,2.860936,0.012931
21,176,49,1231,3701,0.249594,0.782222,0.125089,0.782222,0.874911,0.215686,0.272833,2.867036,0.012974
22,176,49,1229,3703,0.249189,0.782222,0.125267,0.782222,0.874733,0.215951,0.272445,2.871117,0.012997
23,173,52,808,4124,0.163828,0.768889,0.176351,0.768889,0.823649,0.286899,0.190227,4.041957,0.013035
24,173,52,807,4125,0.163625,0.768889,0.176531,0.768889,0.823469,0.287137,0.190033,4.046082,0.013046
25,173,52,806,4126,0.163423,0.768889,0.176711,0.768889,0.823289,0.287375,0.189839,4.050215,0.013106
26,173,52,804,4128,0.163017,0.768889,0.177073,0.768889,0.822927,0.287854,0.189451,4.058506,0.013254
27,173,52,802,4130,0.162612,0.768889,0.177436,0.768889,0.822564,0.288333,0.189063,4.066831,0.013263
28,173,52,801,4131,0.162409,0.768889,0.177618,0.768889,0.822382,0.288574,0.188869,4.071006,0.013286
29,173,52,799,4133,0.162003,0.768889,0.177984,0.768889,0.822016,0.289056,0.188482,4.079383,0.013339
30,173,52,797,4135,0.161598,0.768889,0.178351,0.768889,0.821649,0.28954,0.188094,4.087794,0.013384
31,173,52,795,4137,0.161192,0.768889,0.178719,0.768889,0.821281,0.290025,0.187706,4.09624,0.0134
32,173,52,794,4138,0.160989,0.768889,0.178904,0.768889,0.821096,0.290268,0.187512,4.100476,0.013416
33,173,52,790,4142,0.160178,0.768889,0.179647,0.768889,0.820353,0.291246,0.186736,4.117508,0.013578
34,173,52,788,4144,0.159773,0.768889,0.180021,0.768889,0.819979,0.291737,0.186349,4.126077,0.013617
35,173,52,786,4146,0.159367,0.768889,0.180396,0.768889,0.819604,0.29223,0.185961,4.134682,0.013633
36,173,52,783,4149,0.158759,0.768889,0.180962,0.768889,0.819038,0.292972,0.185379,4.147657,0.013669
37,173,52,780,4152,0.158151,0.768889,0.181532,0.768889,0.818468,0.293718,0.184797,4.160714,0.013743
38,173,52,776,4156,0.15734,0.768889,0.182297,0.768889,0.817703,0.294719,0.184022,4.178251,0.013744
39,173,52,775,4157,0.157137,0.768889,0.182489,0.768889,0.817511,0.29497,0.183828,4.182658,0.013876
40,173,52,772,4160,0.156529,0.768889,0.183069,0.768889,0.816931,0.295726,0.183246,4.195937,0.013969
41,172,53,771,4161,0.156326,0.764444,0.182397,0.764444,0.817603,0.294521,0.182858,4.18053,0.013979
42,172,53,770,4162,0.156123,0.764444,0.18259,0.764444,0.81741,0.294773,0.182664,4.184968,0.014085
43,172,53,768,4164,0.155718,0.764444,0.182979,0.764444,0.817021,0.295279,0.182277,4.193872,0.01409
44,172,53,766,4166,0.155312,0.764444,0.183369,0.764444,0.816631,0.295787,0.181889,4.202814,0.014123
45,171,54,764,4168,0.154907,0.76,0.182888,0.76,0.817112,0.294828,0.181307,4.191786,0.014327
46,171,54,762,4170,0.154501,0.76,0.18328,0.76,0.81672,0.295337,0.180919,4.200772,0.014344
47,171,54,758,4174,0.15369,0.76,0.184069,0.76,0.815931,0.29636,0.180143,4.218859,0.014378
48,171,54,757,4175,0.153487,0.76,0.184267,0.76,0.815733,0.296618,0.17995,4.223405,0.01444
49,171,54,756,4176,0.153285,0.76,0.184466,0.76,0.815534,0.296875,0.179756,4.227961,0.014455
50,171,54,755,4177,0.153082,0.76,0.184665,0.76,0.815335,0.297133,0.179562,4.232527,0.014457
51,170,55,754,4178,0.152879,0.755556,0.183983,0.755556,0.816017,0.295909,0.179174,4.216883,0.014527
52,170,55,752,4180,0.152474,0.755556,0.184382,0.755556,0.815618,0.296425,0.178786,4.22603,0.014741
53,170,55,751,4181,0.152271,0.755556,0.184582,0.755556,0.815418,0.296684,0.178592,4.230619,0.014793
54,169,56,750,4182,0.152068,0.751111,0.183896,0.751111,0.816104,0.295455,0.178204,4.214886,0.014841
55,169,56,747,4185,0.15146,0.751111,0.184498,0.751111,0.815502,0.296231,0.177623,4.22869,0.014861
56,169,56,745,4187,0.151054,0.751111,0.184902,0.751111,0.815098,0.296752,0.177235,4.237943,0.014882
57,169,56,744,4188,0.150852,0.751111,0.185104,0.751111,0.814896,0.297012,0.177041,4.242585,0.014951
58,168,57,742,4190,0.150446,0.746667,0.184615,0.746667,0.815385,0.296035,0.176459,4.231385,0.014985
59,168,57,741,4191,0.150243,0.746667,0.184818,0.746667,0.815182,0.296296,0.176265,4.23604,0.015267
60,168,57,740,4192,0.150041,0.746667,0.185022,0.746667,0.814978,0.296558,0.176071,4.240705,0.015306
61,168,57,737,4195,0.149432,0.746667,0.185635,0.746667,0.814365,0.297345,0.17549,4.254762,0.015316
62,168,57,734,4198,0.148824,0.746667,0.186253,0.746667,0.813747,0.298137,0.174908,4.268914,0.015612
63,168,57,733,4199,0.148621,0.746667,0.186459,0.746667,0.813541,0.298401,0.174714,4.273651,0.015678
64,168,57,732,4200,0.148418,0.746667,0.186667,0.746667,0.813333,0.298667,0.17452,4.2784,0.015695
65,168,57,731,4201,0.148216,0.746667,0.186874,0.746667,0.813126,0.298932,0.174326,4.283159,0.0157
66,167,58,730,4202,0.148013,0.742222,0.186176,0.742222,0.813824,0.297683,0.173938,4.267157,0.015778
67,167,58,729,4203,0.14781,0.742222,0.186384,0.742222,0.813616,0.297948,0.173744,4.27192,0.015881
