"threshold","TP","TN","FP","FN"
0.0,249,0,5149,0
0.01,249,0,5149,0
0.02,249,1,5148,0
0.03,249,2,5147,0
0.04,249,4,5145,0
0.05,249,8,5141,0
0.060000000000000005,249,11,5138,0
0.07,249,16,5133,0
0.08,249,17,5132,0
0.09,249,20,5129,0
0.09999999999999999,498,55,10243,0
0.10999999999999999,498,55,10243,0
0.11999999999999998,249,37,5112,0
0.12999999999999998,249,39,5110,0
0.13999999999999999,249,43,5106,0
0.15,249,47,5102,0
0.16,249,54,5095,0
0.17,249,61,5088,0
0.18000000000000002,249,66,5083,0
0.19000000000000003,249,69,5080,0
0.20000000000000004,249,76,5073,0
0.21000000000000005,249,82,5067,0
0.22000000000000006,249,89,5060,0
0.23000000000000007,249,92,5057,0
0.24000000000000007,249,97,5052,0
0.25000000000000006,249,105,5044,0
0.26000000000000006,249,108,5041,0
0.2700000000000001,249,113,5036,0
0.2800000000000001,249,122,5027,0
0.2900000000000001,249,128,5021,0
0.3000000000000001,249,131,5018,0
0.3100000000000001,249,138,5011,0
0.3200000000000001,249,149,5000,0
0.3300000000000001,249,155,4994,0
0.34000000000000014,249,163,4986,0
0.35000000000000014,249,169,4980,0
0.36000000000000015,249,171,4978,0
0.37000000000000016,249,181,4968,0
0.38000000000000017,249,189,4960,0
0.3900000000000002,249,200,4949,0
0.4000000000000002,249,204,4945,0
0.4100000000000002,249,214,4935,0
0.4200000000000002,249,226,4923,0
0.4300000000000002,249,236,4913,0
0.4400000000000002,249,247,4902,0
0.45000000000000023,249,263,4886,0
0.46000000000000024,249,282,4867,0
0.47000000000000025,249,311,4838,0
0.48000000000000026,249,410,4739,0
0.49000000000000027,246,1077,4072,3
0.5000000000000002,204,4356,793,45
0.5100000000000002,204,4360,789,45
0.5200000000000002,204,4364,785,45
0.5300000000000002,204,4369,780,45
0.5400000000000003,204,4372,777,45
0.5500000000000003,204,4372,777,45
0.5600000000000003,204,4376,773,45
0.5700000000000003,204,4381,768,45
0.5800000000000003,204,4383,766,45
0.5900000000000003,204,4390,759,45
0.6000000000000003,204,4392,757,45
0.6100000000000003,204,4399,750,45
0.6200000000000003,204,4402,747,45
0.6300000000000003,204,4405,744,45
0.6400000000000003,202,4410,739,47
0.6500000000000004,202,4422,727,47
0.6600000000000004,196,4473,676,53
0.6700000000000004,29,5061,88,220
0.6800000000000004,29,5062,87,220
0.6900000000000004,29,5064,85,220
0.7000000000000004,28,5068,81,221
0.7100000000000004,28,5070,79,221
0.7200000000000004,28,5071,78,221
0.7300000000000004,27,5073,76,222
0.7400000000000004,26,5076,73,223
0.7500000000000004,7,5124,25,242
0.7600000000000005,7,5126,23,242
0.7700000000000005,7,5127,22,242
0.7800000000000005,7,5127,22,242
0.7900000000000005,7,5129,20,242
0.8000000000000005,6,5131,18,243
0.8100000000000005,6,5132,17,243
0.8200000000000005,6,5133,16,243
0.8300000000000005,5,5138,11,244
0.8400000000000005,2,5143,6,247
0.8500000000000005,2,5143,6,247
0.8600000000000005,2,5144,5,247
0.8700000000000006,2,5145,4,247
0.8800000000000006,1,5145,4,248
0.8900000000000006,1,5145,4,248
0.9000000000000006,0,5145,4,249
0.9100000000000006,0,5145,4,249
0.9200000000000006,0,5145,4,249
0.9300000000000006,0,5145,4,249
0.9400000000000006,0,5145,4,249
0.9500000000000006,0,5145,4,249
0.9600000000000006,0,5146,3,249
0.9700000000000006,0,5148,1,249
0.9800000000000006,0,5149,0,249
0.9900000000000007,0,5149,0,249
